chunk_size,k_start,k_range,num_points,min_recall,max_recall,auc
10,1,1-5,3,0.05465743953299156,0.179608677654709,0.029541614211625555
10,3,3-5,2,0.11940909839586507,0.179608677654709,0.012645977319625756
50,1,1-5,3,0.3404846662643058,0.7162311577621188,0.08792510024798145
50,3,3-5,2,0.5357106335494167,0.7162311577621188,0.0342476712550342
100,1,1-5,3,0.47938387690089745,0.9071711155079498,0.09048100971346863
100,3,3-5,2,0.8041262180793597,0.9071711155079498,0.015426100480795932
150,1,1-5,3,0.5367762367596616,0.9363588720746502,0.06691494915769038
150,3,3-5,2,0.8529719759937774,0.9363588720746502,0.009361944912631264
200,1,1-5,3,0.6094272152994797,0.9470876132881637,0.04922065962087785
200,3,3-5,2,0.8749564828455713,0.9470876132881637,0.006213214760979795
250,1,1-5,3,0.6541562198350458,0.9742514430014431,0.041813322740517606
250,3,3-5,2,0.9448671961919036,0.9742514430014431,0.002167281674465032
